b = 934878295006, a = 165, e = 12, n = 1284717778837
b = 965064385668, a = 166, e = 12, n = 1284717778837
b = 368173319303, a = 167, e = 12, n = 1284717778837
b = 892398323123, a = 168, e = 12, n = 1284717778837
b = 577612032577, a = 169, e = 12, n = 1284717778837
b = 233170286592, a = 170, e = 12, n = 1284717778837
b = 372384850475, a = 171, e = 12, n = 1284717778837
b = 1167362067809, a = 172, e = 12, n = 1284717778837
b = 448901295460, a = 173, e = 12, n = 1284717778837
b = 172624674747, a = 174, e = 12, n = 1284717778837
b = 950149858834, a = 175, e = 12, n = 1284717778837
b = 837937871753, a = 176, e = 12, n = 1284717778837
b = 1054416022171, a = 177, e = 12, n = 1284717778837
b = 798407569708, a = 178, e = 12, n = 1284717778837
b = 932421495762, a = 179, e = 12, n = 1284717778837
b = 558358734005, a = 180, e = 12, n = 1284717778837
b = 1195583152992, a = 181, e = 12, n = 1284717778837
b = 410804266314, a = 182, e = 12, n = 1284717778837
b = 260298225837, a = 183, e = 12, n = 1284717778837
b = 1031774252748, a = 184, e = 12, n = 1284717778837
b = 552803166600, a = 185, e = 12, n = 1284717778837
b = 466441561094, a = 186, e = 12, n = 1284717778837
b = 392951356659, a = 187, e = 12, n = 1284717778837
b = 778318520345, a = 188, e = 12, n = 1284717778837
b = 980681901022, a = 189, e = 12, n = 1284717778837
b = 1010096835895, a = 190, e = 12, n = 1284717778837
b = 108543175578, a = 191, e = 12, n = 1284717778837
b = 508064535121, a = 192, e = 12, n = 1284717778837
b = 332726257596, a = 193, e = 12, n = 1284717778837
b = 623944848696, a = 194, e = 12, n = 1284717778837
b = 786256499312, a = 195, e = 12, n = 1284717778837
b = 400238506533, a = 196, e = 12, n = 1284717778837
b = 8049643005, a = 197, e = 12, n = 1284717778837
b = 565958769551, a = 198, e = 12, n = 1284717778837
b = 972061333389, a = 199, e = 12, n = 1284717778837
b = 946947242374, a = 200, e = 12, n = 1284717778837
b = 660274348449, a = 201, e = 12, n = 1284717778837
b = 547692243740, a = 202, e = 12, n = 1284717778837
b = 181793506517, a = 203, e = 12, n = 1284717778837
b = 33745821248, a = 204, e = 12, n = 1284717778837
b = 666547871434, a = 205, e = 12, n = 1284717778837
b = 568210432022, a = 206, e = 12, n = 1284717778837
b = 542026320410, a = 207, e = 12, n = 1284717778837
b = 649713487473, a = 208, e = 12, n = 1284717778837
b = 639466140139, a = 209, e = 12, n = 1284717778837
b = 296216676054, a = 210, e = 12, n = 1284717778837
b = 1208627507401, a = 211, e = 12, n = 1284717778837
b = 69225880048, a = 212, e = 12, n = 1284717778837
b = 130775462248, a = 213, e = 12, n = 1284717778837
b = 420839679438, a = 214, e = 12, n = 1284717778837
b = 2507457129, a = 215, e = 12, n = 1284717778837
b = 1133372222594, a = 216, e = 12, n = 1284717778837
b = 1241892284426, a = 217, e = 12, n = 1284717778837
b = 250075292306, a = 218, e = 12, n = 1284717778837
b = 705339493429, a = 219, e = 12, n = 1284717778837
b = 971360798402, a = 220, e = 12, n = 1284717778837
b = 181257195936, a = 221, e = 12, n = 1284717778837
b = 1242343519839, a = 222, e = 12, n = 1284717778837
b = 795776749425, a = 223, e = 12, n = 1284717778837
b = 309449031774, a = 224, e = 12, n = 1284717778837
b = 1143046169989, a = 225, e = 12, n = 1284717778837
b = 132413994321, a = 226, e = 12, n = 1284717778837
b = 92354008422, a = 227, e = 12, n = 1284717778837
b = 973602290565, a = 228, e = 12, n = 1284717778837
b = 706250341657, a = 229, e = 12, n = 1284717778837
b = 1171713032302, a = 230, e = 12, n = 1284717778837
b = 563619540643, a = 231, e = 12, n = 1284717778837
b = 514643411676, a = 232, e = 12, n = 1284717778837
b = 1225371077716, a = 233, e = 12, n = 1284717778837
